,n,win,totalret,maxret,mdd
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-0.25",29.0,12.0,1.7700000000000005,2.3400000000000003,-1.06
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-0.5",29.0,13.0,2.370000000000001,2.370000000000001,-1.06
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-1",29.0,14.0,4.380000000000002,4.380000000000002,-1.0799999999999996
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-2",29.0,14.0,4.380000000000002,4.380000000000002,-1.0799999999999996
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-3",29.0,14.0,4.380000000000002,4.380000000000002,-1.0799999999999996
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-0.25",29.0,11.0,0.6300000000000008,1.5199999999999996,-1.4
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-0.5",29.0,12.0,1.600000000000001,1.7900000000000005,-1.4
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-1",29.0,13.0,3.6100000000000008,3.8000000000000007,-1.4
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-2",29.0,13.0,3.6100000000000008,3.8000000000000007,-1.4
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-3",29.0,13.0,3.6100000000000008,3.8000000000000007,-1.4
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-0.25",29.0,10.0,2.360000000000001,2.950000000000001,-1.7399999999999998
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-0.5",29.0,11.0,3.660000000000001,3.8500000000000014,-1.7399999999999998
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-1",29.0,12.0,5.670000000000001,5.86,-1.7399999999999998
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-2",29.0,12.0,5.670000000000001,5.86,-1.7399999999999998
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_1_-3",29.0,12.0,5.670000000000001,5.86,-1.7399999999999998
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-0.25",29.0,8.0,-8.170000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-0.5",29.0,9.0,-6.870000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-1",29.0,10.0,-5.630000000000025,1.01,-10.250000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-2",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_2_-3",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-0.25",29.0,8.0,-8.170000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-0.5",29.0,9.0,-6.870000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-1",29.0,10.0,-5.630000000000025,1.01,-10.250000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-2",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_4_-3",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-0.25",29.0,8.0,-8.170000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-0.5",29.0,9.0,-6.870000000000027,1.01,-9.660000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-1",29.0,10.0,-5.630000000000025,1.01,-10.250000000000025
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-2",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_999_-3",29.0,10.0,-5.650000000000024,1.01,-10.270000000000024
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-0.25",29.0,12.0,-0.7800000000000015,0.060000000000000026,-2.8200000000000007
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-0.5",29.0,12.0,-1.0300000000000016,0.060000000000000026,-3.000000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-1",29.0,13.0,-0.18000000000000094,0.060000000000000026,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-2",29.0,13.0,-0.18000000000000094,0.060000000000000026,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.25_-3",29.0,13.0,-0.18000000000000094,0.060000000000000026,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-0.25",29.0,11.0,-0.8300000000000012,0.060000000000000026,-2.8200000000000007
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-0.5",29.0,11.0,-1.0800000000000012,0.060000000000000026,-3.000000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-1",29.0,12.0,0.18999999999999934,0.3799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-2",29.0,12.0,0.18999999999999934,0.3799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_0.5_-3",29.0,12.0,0.18999999999999934,0.3799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-0.25",29.0,10.0,0.009999999999998954,0.19999999999999984,-2.8200000000000007
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-0.5",29.0,10.0,-0.24000000000000105,0.060000000000000026,-3.000000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-1",29.0,11.0,0.5899999999999994,0.7799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-2",29.0,11.0,0.5899999999999994,0.7799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_1_-3",29.0,11.0,0.5899999999999994,0.7799999999999989,-2.990000000000001
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_2_-0.25",29.0,9.0,-5.0100000000000255,0.060000000000000026,-7.3000000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_2_-0.5",29.0,9.0,-5.2600000000000255,0.060000000000000026,-7.5500000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_2_-1",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_2_-2",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_2_-3",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_4_-0.25",29.0,9.0,-5.0100000000000255,0.060000000000000026,-7.3000000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_4_-0.5",29.0,9.0,-5.2600000000000255,0.060000000000000026,-7.5500000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_4_-1",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_4_-2",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_4_-3",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_999_-0.25",29.0,9.0,-5.0100000000000255,0.060000000000000026,-7.3000000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_999_-0.5",29.0,9.0,-5.2600000000000255,0.060000000000000026,-7.5500000000000265
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_999_-1",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_999_-2",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry4_{'P': [('delta', -0.2, 1), ('delta', -0.1, -2)]}_[2, 9]_exit1_999_-3",29.0,10.0,-4.4300000000000255,0.060000000000000026,-7.540000000000027
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.25_-0.25",14.0,8.0,2.1099999999999595,3.8099999999999867,-1.7000000000000273
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.25_-0.5",14.0,8.0,1.8599999999999595,3.5599999999999867,-1.7000000000000273
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.25_-1",14.0,8.0,1.4999999999999591,3.3599999999999866,-1.8600000000000274
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.25_-2",14.0,8.0,1.4999999999999591,3.3599999999999866,-1.8600000000000274
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.25_-3",14.0,8.0,1.4999999999999591,3.3599999999999866,-1.8600000000000274
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.5_-0.25",14.0,8.0,2.4599999999999596,4.159999999999987,-1.7000000000000273
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.5_-0.5",14.0,8.0,2.20999999999996,3.9099999999999873,-1.7000000000000273
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.5_-1",14.0,8.0,1.8499999999999597,3.709999999999987,-1.860000000000027
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.5_-2",14.0,8.0,1.8499999999999597,3.709999999999987,-1.860000000000027
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_0.5_-3",14.0,8.0,1.8499999999999597,3.709999999999987,-1.860000000000027
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_1_-0.25",14.0,7.0,-7.050000000000068,4.149999999999983,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_1_-0.5",14.0,7.0,-7.300000000000068,3.899999999999982,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_1_-1",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_1_-2",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_1_-3",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_2_-0.25",14.0,7.0,-7.050000000000068,4.149999999999983,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_2_-0.5",14.0,7.0,-7.300000000000068,3.899999999999982,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_2_-1",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_2_-2",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_2_-3",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-0.25",14.0,7.0,-7.050000000000068,4.149999999999983,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-0.5",14.0,7.0,-7.300000000000068,3.899999999999982,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-1",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-2",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_4_-3",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-0.25",14.0,7.0,-7.050000000000068,4.149999999999983,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-0.5",14.0,7.0,-7.300000000000068,3.899999999999982,-11.20000000000005
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-1",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-2",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.4, 1), ('delta', -0.2, -2)]}_[2, 9]_exit1_999_-3",14.0,7.0,-7.660000000000066,3.699999999999982,-11.360000000000051
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-0.25",14.0,5.0,-0.009999999999999842,0.3800000000000002,-0.9999999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-0.5",14.0,5.0,-0.009999999999999842,0.3800000000000002,-0.9999999999999997
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-1",14.0,5.0,-0.0799999999999998,0.3100000000000003,-1.0699999999999996
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-2",14.0,5.0,-0.0799999999999998,0.3100000000000003,-1.0699999999999996
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.25_-3",14.0,5.0,-0.0799999999999998,0.3100000000000003,-1.0699999999999996
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-0.25",14.0,5.0,-0.08000000000000024,0.30999999999999983,-1.3900000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-0.5",14.0,5.0,-0.08000000000000024,0.30999999999999983,-1.3900000000000001
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-1",14.0,5.0,-0.15000000000000036,0.24,-1.39
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-2",14.0,5.0,-0.15000000000000036,0.24,-1.39
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -2)]}_[2, 9]_exit1_0.5_-3",14.0,5.0,-0.15000000000000036,0.24,-1.39
